               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12864,            0.030025,                   0,            0.033505,                 0.6,            0.022625,           0.0023475,             0.12585,            0.028177,                   0,               1e-05,               1e-05,             0.09991
                   1,              0.1239,            0.031394,                   0,            0.035342,                 0.6,            0.023081,           0.0028285,             0.12516,            0.027723,                   0,          2.9894e-05,          2.9894e-05,             0.09973
                   2,             0.12298,            0.031367,                   0,             0.03606,                 0.6,            0.023333,           0.0028537,              0.1243,            0.027211,                   0,          4.9293e-05,          4.9293e-05,            0.099549
                   3,             0.12276,            0.032523,                   0,            0.035717,                 0.6,            0.022525,           0.0027128,             0.12318,            0.026615,                   0,          6.7788e-05,          6.7788e-05,            0.099368
                   4,              0.1233,            0.031259,                   0,            0.032458,                 0.6,             0.02172,           0.0027102,             0.12173,            0.026053,                   0,           8.499e-05,           8.499e-05,            0.099185
                   5,             0.11219,            0.030967,                   0,            0.025386,                 0.2,            0.011066,           0.0017259,             0.11978,            0.025583,                   0,          0.00010055,          0.00010055,            0.099001
                   6,             0.11916,            0.030699,                   0,            0.026462,                 0.2,            0.011301,           0.0018118,             0.11671,            0.025095,                   0,          0.00011414,          0.00011414,            0.098814
                   7,             0.11103,            0.027915,                   0,            0.032654,                 0.2,            0.012452,           0.0024923,             0.11195,            0.024745,                   0,          0.00012553,          0.00012553,            0.098626
                   8,             0.10429,            0.030484,                   0,            0.034302,                 0.2,            0.012692,           0.0025463,             0.10718,            0.024416,                   0,          0.00013449,          0.00013449,            0.098434
                   9,             0.09237,            0.028661,                   0,            0.041524,                 0.2,            0.020648,           0.0039781,             0.10215,            0.024042,                   0,           0.0001409,           0.0001409,            0.098241
                  10,             0.10423,            0.028983,                   0,            0.042275,                 0.2,            0.020747,           0.0041196,             0.09982,            0.023931,                   0,           0.0001447,           0.0001447,            0.098045
                  11,            0.098952,            0.029603,                   0,            0.046297,                 0.2,            0.022154,            0.004364,            0.094581,            0.023625,                   0,          0.00014589,          0.00014589,            0.097846
                  12,            0.090427,            0.027895,                   0,            0.046998,                 0.2,            0.021993,           0.0043024,             0.09125,            0.023279,                   0,          0.00014456,          0.00014456,            0.097645
                  13,            0.098422,            0.028917,                   0,            0.043519,                 0.2,            0.021631,           0.0041195,            0.089589,            0.022956,                   0,          0.00014087,          0.00014087,            0.097441
                  14,            0.084223,            0.027308,                   0,            0.045277,                 0.2,              0.0226,           0.0043048,            0.087904,            0.022685,                   0,          0.00013505,          0.00013505,            0.097235
                  15,            0.093816,            0.031982,                   0,             0.04121,                 0.2,            0.022168,           0.0042908,            0.086526,            0.022415,                   0,          0.00012739,          0.00012739,            0.097027
                  16,            0.090558,            0.027733,                   0,              0.0492,                 0.2,            0.022795,           0.0046976,            0.085114,            0.022167,                   0,          0.00011827,          0.00011827,            0.096818
                  17,            0.095692,            0.029257,                   0,            0.057714,                 0.2,            0.022412,           0.0046625,            0.083901,            0.021955,                   0,          0.00010811,          0.00010811,            0.096608
                  18,            0.096337,            0.032185,                   0,            0.075135,             0.18033,            0.028108,           0.0061148,            0.082996,            0.021754,                   0,          9.7369e-05,          9.7369e-05,            0.096397
                  19,             0.09468,            0.030458,                   0,            0.082156,                 0.2,            0.027568,           0.0060608,            0.082437,            0.021517,                   0,          8.6566e-05,          8.6566e-05,            0.096187
                  20,            0.090791,            0.026911,                   0,            0.090218,                 0.2,            0.028966,            0.006496,            0.081341,            0.021325,                   0,          7.6236e-05,          7.6236e-05,            0.095976
                  21,            0.087784,            0.027189,                   0,            0.093314,                 0.2,            0.033794,           0.0077667,            0.080621,            0.021146,                   0,          6.6935e-05,          6.6935e-05,            0.095767
                  22,            0.092247,            0.030583,                   0,             0.13156,             0.18418,             0.04147,           0.0097725,            0.079913,            0.021021,                   0,           5.922e-05,           5.922e-05,            0.095559
                  23,            0.093068,            0.028318,                   0,             0.14127,             0.19778,            0.036534,           0.0092788,            0.079374,            0.020859,                   0,          5.3645e-05,          5.3645e-05,            0.095354
                  24,            0.086828,            0.031594,                   0,             0.15612,                 0.2,            0.039069,            0.010461,             0.07875,             0.02069,                   0,          5.0739e-05,          5.0739e-05,            0.095151
